marca,email,genero,edad,nivel,ocupacion,CCAA,Experiencia,Dificultad,Intervalo,ejemplo01,ejemplo2,ejemplo3,ejemplo4,ejemplo5,ejemplo6,"7. A pesar de no sobrepasar el ámbito de octava, se incluye el siguiente pasaje en el que el acorde señalado (flecha roja) exige una gran abertura interdigital entre el dedo 2 y 3 de la mano derecha. ¿Qué opción elegiría para su realización? 

En el caso de elegir la opción ""Otro"", describa brevemente su realización.",ejemplo8,ejemplo9,10-ejemplo01,11-ejemplo2,12. ¿Cuál es la digitación que emplea para la línea de bajo de los acordes sombreados del amarillo? ,13. ¿Cuál es la digitación que emplea para el fragmento sombreados en verde? ,14. ¿Qué opción elegiría para la realización de los motivos señalados? ,15. ¿Qué opción elegiría para el motivo en semicorcheas de la clave de sol? ,16. ¿Qué opción elegiría en el siguiente pasaje descendente? ,17. ¿Qué opción elegiría para la realización del pasaje señalado (color verde)? ,18. ¿Qué opción elegiría para la realización del pasaje señalado (color verde)? ,10. Adjunte una fotografía de la partitura en la cual indique su digitación.,11.  Adjunte una fotografía de la partitura en la cual indique su digitación.,12.  Adjunte una fotografía de la partitura en la cual indique su digitación.,16.  Adjunte una fotografía de la partitura en la cual indique su digitación.,17.  Adjunte una fotografía de la partitura en la cual indique su digitación.,18.  Adjunte una fotografía de la partitura en la cual indique su digitación.,19. ¿Qué opción elegiría para la realización del motivo ascendente en semicorcheas? ,Usted se define como...,,,
11/07/2023 20:56:04,x1,a) Masculino,b) 25-34 años,a) Grado Superior de Piano o equivalente,c) Profesor/a de Piano,Galicia,No lo recuerdo,5,Hasta la décima pero sólo entre teclas blancas,a) Arpegiado,d) Arpegiado los tres primeros acordes y placado el último de ellos.,a) Arpegiado,b) Placado,a) Arpegiado,d) Arpegiado el primer acorde (si bemol-fa-re) y placado el segundo (do-sol-mi),b) Placado,Digitación en azul salvo el último acorde (rojo),"3, 2, 2, 2, 2","1, 5 en teclas blancas, 2, 4 en teclas negras (m.d.) en el primero y segundo caso, 1, 4 fa, sib, 2, 5 solb dob",b) Digitación indicada en color morado,b) Digitación indicada en color rojo,a) Digitación indicada en color azul,No realizo ninguna redistribución de los motivos señalados (color rojo).,No realizo ninguna redistribución con la mano izquierda.,"Aprovecho la colocación de la mano izquierda, haciendo un cambio en m.d, siguiendo m.i, siguiendo m.d hasta la línea azul, luego m.i.",Redistribuyo con la mano derecha (corchetes en rojo) y empleo la digitación señalada en rojo.,No realizo ninguna redistribución diferente a la partitura,,,,,,,Añado la redistribución señalada en rojo (r.h.).,Diestro,,,
11/07/2023 21:29:51,x2,a) Masculino,d) 45-54 años,a) Grado Superior de Piano o equivalente,Pianista acompañante (Conservatorio Profesional de Danza),Galicia,Entre dos y cinco veces,1,Hasta la décima pero sólo entre teclas blancas,a) Arpegiado,d) Arpegiado los tres primeros acordes y placado el último de ellos.,b) Placado,b) Placado,a) Arpegiado,d) Arpegiado el primer acorde (si bemol-fa-re) y placado el segundo (do-sol-mi),d) Pero sólo en el acorde señalado con la flecha.,Azul (excepto dedo 2 para el último acorde).,b) Siempre utilizar la digitación 5-2-1,"Azul en compases 56 y 58, en 57 mi 21, 31 y md rojo con 13 en cuarta semicorchea.",b) Digitación indicada en color morado,543 543 5435545 543 4354454 5435454 543,Rojo con 3 en la corchea 5.,No realizo ninguna redistribución de los motivos señalados (color rojo).,La primera respuesta pero uso 124 (pulgar en el Mi).,md 532143214321321432 mi 123123(2) ,md 5241231231235...,No realizo ninguna redistribución diferente a la partitura,https://drive.google.com/open?id=1TIIZtt4scI-SG8YDqTmCi-XFlobRPeVT,,,,,,Añado la redistribución señalada en rojo (r.h.).,Diestro,,,
11/07/2023 21:49:12,x3,a) Masculino,c) 35-44 años,b) Máster,"a) Pianista acompañante (Conservatorio Profesional de Música), b) Pianista acompañante (Conservatorio Superior de Música)",Galicia,Más de cinco veces,4,Hasta la décima pero sólo entre teclas blancas,a) Arpegiado,a) Arpegiado,a) Arpegiado,b) Placado,Nota superior con la mano derecha,a) Arpegiado,b) Placado,a) Combinar dedo 3 y dedo 2 (digitación en color azul),b) Siempre utilizar la digitación 5-2-1,c) Digitación indicada en color rojo con cambio de disposición (indicado en rojo entre paréntesis),a) Digitación indicada en color naranja,a) Digitación indicada en color azul,3-1-2-3,No realizo ninguna redistribución de los motivos señalados (color rojo).,No realizo ninguna redistribución con la mano izquierda.,Te lo mando en foto!  ,No realizo ninguna redistribución diferente a la partitura y empleo la digitación indicada en azul.,No realizo ninguna redistribución diferente a la partitura,,,,,,,Añado la redistribución señalada en rojo (r.h.).,Diestro,,,
11/07/2023 22:02:49,x4,a) Masculino,c) 35-44 años,b) Máster,a) Pianista acompañante (Conservatorio Profesional de Música),Valencia,Entre dos y cinco veces,4,Hasta la décima en todas las combinaciones de teclas,c) Quebrado con bajo anticipado antes de la parte,c) Quebrado con bajo anticipado antes de la parte,a) Arpegiado,c) Quebrado con bajo anticipado antes de la parte,d) Reducción: tocar sólo la nota superior,c) Quebrado con bajo anticipado antes de la parte,a) Arpegiado,b) Siempre utilizar la digitación 5-2-1,b) Siempre utilizar la digitación 5-2-1,b) Digitación indicada en color rojo sin cambio de disposición,a) Digitación indicada en color naranja,b) Digitación indicada en color rojo,a) Digitación indicada en color azul,Redistribuyo los pasajes señalados (color rojo) con la mano derecha.,No realizo ninguna redistribución con la mano izquierda.,Cruce de manos intercalando la mano derecha (en amarillo) y la mano izquierda (verde) y con la digitación en color rojo.,No realizo ninguna redistribución diferente a la partitura y empleo la digitación indicada en azul.,No realizo ninguna redistribución diferente a la partitura,,,,,,,Realizo sólo la redistribución propuesta por el compositor con la indicación r.h.,Diestro,,,
12/07/2023 0:10:09,x5,a) Masculino,c) 35-44 años,b) Máster,"a) Pianista acompañante (Conservatorio Profesional de Música), c) Profesor/a de Piano",Galicia,Más de cinco veces,4,Hasta la décima en todas las combinaciones de teclas,a) Arpegiado,a) Arpegiado,a) Arpegiado,a) Arpegiado,a) Arpegiado,a) Arpegiado,b) Placado,a) Combinar dedo 3 y dedo 2 (digitación en color azul),a) Combinar dedo 3 y dedo 2 (digitación en color azul),c) Digitación indicada en color rojo con cambio de disposición (indicado en rojo entre paréntesis),a) Digitación indicada en color naranja,a) Digitación indicada en color azul,a) Digitación indicada en color azul,No realizo ninguna redistribución de los motivos señalados (color rojo).,No realizo ninguna redistribución con la mano izquierda.,Redistribuyo la mano derecha hasta la línea transversal azul  y luego continúo con la mano izquierda.,No realizo ninguna redistribución diferente a la partitura y empleo la digitación indicada en azul.,Redistribuyo según la indicación propuesta (corchetes en rojo).,,,,,,,Realizo sólo la redistribución propuesta por el compositor con la indicación r.h.,Diestro,,,
12/07/2023 0:57:28,x6,a) Masculino,c) 35-44 años,a) Grado Superior de Piano o equivalente,a) Pianista acompañante (Conservatorio Profesional de Música),Galicia,Más de cinco veces,5,Hasta la décima pero sólo entre teclas blancas,c) Quebrado con bajo anticipado antes de la parte,c) Quebrado con bajo anticipado antes de la parte,c) Quebrado con bajo anticipado antes de la parte,c) Quebrado con bajo anticipado antes de la parte,c) Quebrado con bajo anticipado antes de la parte,c) Quebrado con bajo anticipado antes de la parte,b) Placado,a) Combinar dedo 3 y dedo 2 (digitación en color azul),b) Siempre utilizar la digitación 5-2-1,"en el primer compás, uso la digitación azul. En el segundo compás  uso la roja, y en el tercer compás la azul. ",a) Digitación indicada en color naranja,b) Digitación indicada en color rojo,a) Digitación indicada en color azul,No realizo ninguna redistribución de los motivos señalados (color rojo).,No realizo ninguna redistribución con la mano izquierda.,Cruce de manos intercalando la mano derecha (en amarillo) y la mano izquierda (verde) y con la digitación en color rojo.,Redistribuyo con la mano derecha (corchetes en rojo) y empleo la digitación señalada en rojo.,No realizo ninguna redistribución diferente a la partitura,,,,,,,Añado la redistribución señalada en rojo (r.h.).,Zurdo,,,
12/07/2023 13:05:35,x7,a) Masculino,c) 35-44 años,c) Doctorado,b) Pianista acompañante (Conservatorio Superior de Música),Galicia,Más de cinco veces,5,Hasta la décima pero sólo entre teclas blancas,d) Redistribución del fa sostenido con la mano derecha (acorde placado),Tres primeros arpegiados y el último anticipando la quinta del bajo,a) Arpegiado,El mi bemol (que aparece como natural por errata de la partitura) a la octava superior. Así se conserva la posición cerrada en toda la sucesión armónica de la m.d.,El primero cogiendo el sol# con la m.d. El segundo arpegiado,Arpegiado el 1° y el segundo anticipando la 5a del bajo,Elimino el Eb3 (el mi bemol inferior) y de hecho el pasaje suena mucho mejor,3-2 interior siempre que no hay grados conjuntos en esta voz,3 interior solo en el 1er acorde,a) Digitación indicada en color azul,"Las dos son buenas, depende del calado del piano",a) Digitación indicada en color azul,2123,No realizo ninguna redistribución de los motivos señalados (color rojo).,No realizo ninguna redistribución con la mano izquierda.,Arpegio re do la fa derecha izquierda derecha y escala con la derecha,"Quinta de la derecha 2 y 5. Con la derecha cojo los corchetes en rojo, pero incluyo también la nota G3, y así empiezo los arpegios descendentes de la izquierda siempre con 1",No realizo ninguna redistribución diferente a la partitura,,,,,,,Añado la redistribución señalada en rojo (r.h.).,Diestro,,,
12/07/2023 17:09:47,x8,a) Masculino,c) 35-44 años,b) Máster,"a) Pianista acompañante (Conservatorio Profesional de Música), c) Profesor/a de Piano",Galicia,En una ocasión,5,Hasta la décima pero sólo entre teclas blancas,a) Arpegiado,d) Arpegiado los tres primeros acordes y placado el último de ellos.,a) Arpegiado,b) Placado,a) Arpegiado,d) Arpegiado el primer acorde (si bemol-fa-re) y placado el segundo (do-sol-mi),"Dedo 1 para mib y fab (deslizando), 3 para el la",opción a) + dedo tres en primer acorde c. 71,a) Combinar dedo 3 y dedo 2 (digitación en color azul),"En general opción en color rojo, en c. 4 en m.d. dedo 5 en lugar del 4 en el paréntesis y en m.i. 1-3 en lugar de 1-2 ","42-53 (motivo acéfalo), 31-42-53, etc.",a) Digitación indicada en color azul,a) Digitación indicada en color azul,No realizo ninguna redistribución de los motivos señalados (color rojo).,No realizo ninguna redistribución con la mano izquierda.,Distribuyo las manos conforme a cada pentagrama según la partitura.,No realizo redistribución y empleo digitación distinta a la indicada en azul,No realizo ninguna redistribución diferente a la partitura,https://drive.google.com/open?id=1TMExdLtTqmssp9pGMaE5LTuCELAPbwpI,https://drive.google.com/open?id=1jRIr5qJJeeq3laFIwnWmOn3W2xK1l-6G,,,https://drive.google.com/open?id=1lU1U96P8M-gxQtkPY7AVxuYMWtydVDTM,,Añado la redistribución señalada en rojo (r.h.).,Diestro,,,
12/07/2023 21:44:14,x9,a) Masculino,a)18-24 años,b) Máster,Opositor,Extremadura,Más de cinco veces,5,Hasta la octava,d) Redistribución del fa sostenido con la mano derecha (acorde placado),a) Arpegiado,a) Arpegiado,Mib subirlo de octava para poderlo tocar con la mano der,"Reducir el plaqué a fund-5-8, ya que la tercera sobresale al ser la nota del tiple de la mano der",c) Quebrado con bajo anticipado antes de la parte,b) Placado,a) Combinar dedo 3 y dedo 2 (digitación en color azul),a) Combinar dedo 3 y dedo 2 (digitación en color azul),"En la primera y tercera azul, en la segunda rojo",b) Digitación indicada en color morado,b) Digitación indicada en color rojo,a) Digitación indicada en color azul,Redistribuyo los pasajes señalados (color rojo) con la mano derecha.,1-2-4,Distribuyó las manos como indica pero el último grupo lo realizo con la der menos las dos últimas notas,Redistribuyo con la mano derecha (corchetes en rojo) y empleo la digitación señalada en rojo.,No realizo ninguna redistribución diferente a la partitura,,,,,,,Realizo sólo la redistribución propuesta por el compositor con la indicación r.h.,Diestro,,,
12/07/2023 21:57:26,x10,a) Masculino,b) 25-34 años,b) Máster,"a) Pianista acompañante (Conservatorio Profesional de Música), c) Profesor/a de Piano",Galicia,Más de cinco veces,5,Hasta la décima pero sólo entre teclas blancas,b) Placado,b) Placado,b) Placado,b) Placado,O placado o de quitar notas siempre dejar las notas del bajo,Placado y o quitando la nota superior,Placado y en caso de dificultad quitar notas del medio,a) Combinar dedo 3 y dedo 2 (digitación en color azul),a) Combinar dedo 3 y dedo 2 (digitación en color azul),b) Digitación indicada en color rojo sin cambio de disposición,a) Digitación indicada en color naranja,b) Digitación indicada en color rojo,Un 3 en el sol,No realizo ninguna redistribución de los motivos señalados (color rojo).,No realizo ninguna redistribución con la mano izquierda.,Cruce de manos intercalando la mano derecha (en amarillo) y la mano izquierda (verde) y con la digitación en color rojo.,No realizo ninguna redistribución diferente a la partitura y empleo la digitación indicada en azul.,No lo sé ,,,,,,,Añado la redistribución señalada en rojo (r.h.).,Diestro,,,
